# frame ,time ,JointType ,TrackingState ,X,Y,Z
# frame ,time ,JointType ,x ,y,z,w
# frame ,time ,JointType ,TrackingState ,X,Y,Z
# frame ,time ,JointType ,x ,y,z,w
7,21285,0,2,0.106964,0.115676,1.97628
7,21287,1,2,0.0949052,0.436004,1.97067
7,21287,2,2,0.0824661,0.741922,1.95311
7,21287,3,2,0.0904862,0.89057,1.93946
7,21287,4,2,-0.0864627,0.615704,1.94665
7,21287,5,2,-0.1391,0.344231,1.9301
7,21287,6,2,-0.148632,0.118232,1.86445
7,21287,7,2,-0.147435,0.0778898,1.86024
7,21287,8,2,0.252068,0.610138,1.96745
7,21287,9,2,0.319843,0.332214,1.97628
7,21287,10,2,0.338208,0.107367,1.9096
7,21287,11,2,0.335777,0.0828515,1.90608
7,21287,12,2,0.0281969,0.112914,1.92839
7,21287,13,2,-0.0129341,-0.255951,1.91913
7,21296,14,2,-0.00626948,-0.629575,1.98424
7,21296,15,2,-0.0140008,-0.707555,1.92272
7,21296,16,2,0.181484,0.113986,1.94874
7,21296,17,2,0.204027,-0.26389,1.95997
7,21296,18,2,0.1756,-0.639438,2.02258
7,21296,19,2,0.19075,-0.714241,1.9577
7,21296,20,2,0.0856393,0.66741,1.95959
7,21296,21,2,-0.140023,-0.00336013,1.85868
7,21296,22,2,-0.0818922,0.101713,1.85326
7,21296,23,2,0.339308,-0.00585189,1.90686
7,21296,24,2,0.280442,0.102254,1.89297
8,22279,0,2,0.0900799,0.11172,1.96927
8,22279,1,2,0.0768149,0.434777,1.96977
8,22279,2,2,0.0632625,0.743126,1.95822
8,22279,3,2,0.0664338,0.89178,1.95056
8,22279,4,2,-0.108196,0.613739,1.94975
8,22279,5,2,-0.168574,0.346914,1.92908
8,22279,6,2,-0.182029,0.124439,1.8497
8,22279,7,2,-0.177562,0.0799778,1.8461
8,22279,8,2,0.227644,0.609009,1.96143
8,22279,9,2,0.297917,0.334799,1.96432
8,22279,10,2,0.335297,0.112337,1.89582
8,22279,11,2,0.3368,0.0837426,1.882
8,22279,12,2,0.011579,0.107768,1.92232
8,22279,13,2,-0.0149336,-0.250316,1.93315
8,22279,14,2,0.00278606,-0.611521,1.99699
8,22279,15,2,0.00474277,-0.639852,1.8813
8,22279,16,2,0.164894,0.111312,1.94042
8,22279,17,2,0.195411,-0.257865,1.97034
8,22279,18,2,0.176777,-0.627153,2.01867
8,22279,19,2,0.187433,-0.710827,1.95184
8,22279,20,2,0.0666928,0.668019,1.9632
8,22279,21,2,-0.166013,0.00257694,1.83904
8,22280,22,2,-0.140637,0.065341,1.822
8,22280,23,2,0.341175,-0.00320548,1.88486
8,22280,24,2,0.268746,0.116151,1.89533
9,23282,0,2,0.0851362,0.110774,1.96979
9,23282,1,2,0.0713921,0.434283,1.96759
9,23282,2,2,0.0575723,0.743077,1.95314
9,23282,3,2,0.0612036,0.891404,1.94518
9,23282,4,2,-0.11333,0.612302,1.9463
9,23282,5,2,-0.171951,0.347576,1.9306
9,23282,6,2,-0.182331,0.124645,1.85326
9,23282,7,2,-0.176474,0.0761981,1.84741
9,23282,8,2,0.223951,0.609885,1.95796
9,23282,9,2,0.292476,0.336192,1.96318
9,23282,10,2,0.328353,0.112638,1.89931
9,23282,11,2,0.331562,0.0834019,1.8903
9,23282,12,2,0.00646351,0.106797,1.92349
9,23282,13,2,-0.0172547,-0.251422,1.93369
9,23282,14,2,0.00299037,-0.614286,1.9971
9,23282,15,2,0.00487284,-0.642746,1.8815
9,23282,16,2,0.160421,0.110605,1.94043
9,23282,17,2,0.192022,-0.257834,1.97172
9,23282,18,2,0.176191,-0.626043,2.01851
9,23282,19,2,0.187211,-0.711102,1.95227
9,23282,20,2,0.0610276,0.667874,1.95887
9,23282,21,2,-0.162531,-1.57355e-05,1.84032
9,23282,22,2,-0.143858,0.0704017,1.82646
9,23283,23,2,0.336487,-0.00459859,1.88948
9,23283,24,2,0.266079,0.105035,1.88717
10,24280,0,2,0.0865254,0.110209,1.97214
10,24280,1,2,0.0729238,0.433511,1.96879
10,24280,2,2,0.0595511,0.742052,1.95368
10,24280,3,2,0.0619094,0.891638,1.94536
10,24280,4,2,-0.112077,0.612606,1.94856
10,24280,5,2,-0.177161,0.351559,1.93351
10,24280,6,2,-0.198516,0.130392,1.85257
10,24280,7,2,-0.202465,0.0810423,1.84077
10,24280,8,2,0.228534,0.609179,1.9606
10,24280,9,2,0.327268,0.341741,1.97144
10,24280,10,2,0.437232,0.15188,1.88571
10,24280,11,2,0.468636,0.111229,1.87419
10,24280,12,2,0.00759936,0.105856,1.92631
10,24280,13,2,-0.0167947,-0.25136,1.93375
10,24280,14,2,0.00317061,-0.612354,1.99688
10,24280,15,2,0.00513968,-0.640902,1.88131
10,24281,16,2,0.162061,0.110352,1.94248
10,24281,17,2,0.195347,-0.253609,1.97104
10,24281,18,2,0.177695,-0.625859,2.01957
10,24281,19,2,0.187633,-0.710324,1.95113
10,24281,20,2,0.0628795,0.666921,1.95955
10,24281,21,2,-0.19344,0.00257218,1.83662
10,24281,22,2,-0.170073,0.0683116,1.8191
10,24281,23,2,0.489061,0.0441096,1.86171
10,24281,24,2,0.490404,0.116648,1.83057
11,25279,0,2,0.0879739,0.111525,1.97219
11,25279,1,2,0.0754883,0.434184,1.96907
11,25279,2,2,0.063403,0.742222,1.95408
11,25279,3,2,0.0672573,0.891468,1.94492
11,25279,4,2,-0.110138,0.6155,1.95073
11,25279,5,2,-0.229809,0.375253,1.92978
11,25279,6,2,-0.324117,0.180794,1.83423
11,25279,7,2,-0.345933,0.136543,1.81163
11,25279,8,2,0.24084,0.607569,1.96222
11,25279,9,2,0.378909,0.366647,1.97148
11,25279,10,2,0.528192,0.215359,1.87066
11,25279,11,2,0.576104,0.182766,1.85132
11,25279,12,2,0.00879581,0.107894,1.92719
11,25279,13,2,-0.016066,-0.246449,1.93293
11,25279,14,2,0.0029755,-0.611825,1.99646
11,25279,15,2,0.00481766,-0.640368,1.88087
11,25279,16,2,0.163863,0.111282,1.94165
11,25279,17,2,0.195436,-0.249202,1.97041
11,25279,18,2,0.177876,-0.629409,2.01935
11,25279,19,2,0.187251,-0.710126,1.94956
11,25279,20,2,0.066416,0.667207,1.95991
11,25279,21,2,-0.364174,0.0633887,1.7992
11,25279,22,2,-0.325379,0.114589,1.82278
11,25280,23,2,0.611342,0.124432,1.82665
11,25280,24,2,0.555275,0.201565,1.79431
12,26284,0,2,0.0872484,0.115323,1.97404
12,26284,1,2,0.0752184,0.436481,1.97076
12,26284,2,2,0.0632705,0.743329,1.95565
12,26284,3,2,0.0667771,0.891803,1.94718
12,26284,4,2,-0.114012,0.616804,1.95411
12,26284,5,2,-0.25251,0.387532,1.93936
12,26284,6,2,-0.383973,0.22051,1.8373
12,26284,7,2,-0.4094,0.182275,1.81644
12,26284,8,2,0.242953,0.609224,1.96293
12,26284,9,2,0.401207,0.37815,1.96824
12,26284,10,2,0.569793,0.247899,1.87057
12,26284,11,2,0.617947,0.219911,1.85634
12,26284,12,2,0.00786124,0.112973,1.93064
12,26284,13,2,-0.0167632,-0.24503,1.9337
12,26284,14,2,0.00299149,-0.612574,1.99704
12,26284,15,2,0.00415121,-0.641105,1.88145
12,26284,16,2,0.163332,0.113476,1.942
12,26284,17,2,0.194996,-0.250008,1.97142
12,26284,18,2,0.178289,-0.630059,2.01902
12,26285,19,2,0.186607,-0.709751,1.95086
12,26285,20,2,0.0662705,0.66857,1.96149
12,26285,21,2,-0.450933,0.105872,1.80245
12,26285,22,2,-0.440383,0.134382,1.85675
12,26285,23,2,0.663252,0.166364,1.82683
12,26285,24,2,0.608548,0.2416,1.79132
13,27288,0,2,0.0882264,0.116443,1.97093
13,27288,1,2,0.0759356,0.437526,1.96747
13,27288,2,2,0.0636577,0.74412,1.95197
13,27288,3,2,0.065607,0.891292,1.94357
13,27288,4,2,-0.114205,0.617059,1.95268
13,27288,5,2,-0.263828,0.380565,1.94036
13,27288,6,2,-0.408528,0.21986,1.84804
13,27288,7,2,-0.457253,0.199441,1.82343
13,27288,8,2,0.244487,0.609967,1.95659
13,27288,9,2,0.415343,0.373538,1.96362
13,27288,10,2,0.600891,0.263819,1.87379
13,27288,11,2,0.649576,0.249646,1.86229
13,27288,12,2,0.00901923,0.114066,1.92822
13,27288,13,2,-0.0172733,-0.243666,1.93243
13,27288,14,2,0.00299243,-0.612688,1.9962
13,27288,15,2,0.00298686,-0.641219,1.8806
13,27288,16,2,0.164055,0.114491,1.93787
13,27288,17,2,0.194901,-0.250068,1.96975
13,27288,18,2,0.178204,-0.629563,2.01866
13,27289,19,2,0.186613,-0.70958,1.95124
13,27289,20,2,0.0667488,0.669447,1.95794
13,27289,21,2,-0.517312,0.149886,1.78312
13,27289,22,2,-0.453456,0.151254,1.83519
13,27289,23,2,0.709797,0.190783,1.84386
13,27289,24,2,0.652764,0.315389,1.8213
14,28279,0,2,0.0886314,0.117091,1.97014
14,28279,1,2,0.0762631,0.437738,1.96672
14,28279,2,2,0.0640503,0.743781,1.95135
14,28279,3,2,0.0652453,0.891275,1.94299
14,28279,4,2,-0.114253,0.616722,1.95467
14,28279,5,2,-0.279684,0.381304,1.94148
14,28279,6,2,-0.440967,0.247938,1.83368
14,28279,7,2,-0.484953,0.231813,1.81295
14,28279,8,2,0.247848,0.612051,1.95734
14,28279,9,2,0.428785,0.38912,1.95781
14,28279,10,2,0.622461,0.299338,1.86332
14,28279,11,2,0.671751,0.287233,1.84806
14,28279,12,2,0.0095308,0.114591,1.92795
14,28279,13,2,-0.0169196,-0.243715,1.93182
14,28279,14,2,0.00358529,-0.610285,1.99609
14,28279,15,2,0.00323175,-0.638829,1.88043
14,28279,16,2,0.164313,0.115327,1.93659
14,28279,17,2,0.194794,-0.250073,1.96906
14,28279,18,2,0.178295,-0.629095,2.01849
14,28279,19,2,0.187299,-0.709821,1.95055
14,28279,20,2,0.0671143,0.669268,1.95728
14,28279,21,2,-0.548329,0.18488,1.76803
14,28279,22,2,-0.474211,0.185366,1.82096
14,28280,23,2,0.735367,0.23407,1.82114
14,28280,24,2,0.677095,0.350975,1.81021
15,29282,0,2,0.0881846,0.116745,1.97107
15,29282,1,2,0.0756596,0.437398,1.96724
15,29282,2,2,0.0629005,0.743353,1.95126
15,29282,3,2,0.0635824,0.89111,1.94262
15,29282,4,2,-0.115205,0.616536,1.95493
15,29282,5,2,-0.266372,0.374742,1.93859
15,29282,6,2,-0.409935,0.219516,1.83464
15,29282,7,2,-0.443954,0.19305,1.81047
15,29282,8,2,0.243821,0.611563,1.95655
15,29282,9,2,0.407152,0.370787,1.96057
15,29282,10,2,0.590388,0.249902,1.87384
15,29282,11,2,0.631971,0.224907,1.86026
15,29282,12,2,0.00890553,0.114,1.92881
15,29282,13,2,-0.0172651,-0.244032,1.93191
15,29282,14,2,0.00309616,-0.612959,1.99637
15,29282,15,2,0.00251672,-0.641444,1.88061
15,29282,16,2,0.163961,0.115027,1.93736
15,29282,17,2,0.194683,-0.250162,1.96914
15,29283,18,2,0.178056,-0.630425,2.01895
15,29283,19,2,0.186883,-0.709776,1.9504
15,29283,20,2,0.0661304,0.668857,1.95736
15,29283,21,2,-0.496883,0.136503,1.76649
15,29283,22,2,-0.428681,0.150982,1.82115
15,29283,23,2,0.686957,0.164444,1.84337
15,29283,24,2,0.64177,0.2909,1.815
16,30279,0,2,0.0865075,0.115988,1.96964
16,30279,1,2,0.0728348,0.437151,1.96458
16,30279,2,2,0.0589786,0.743679,1.94727
16,30279,3,2,0.0601031,0.890432,1.93753
16,30279,4,2,-0.117156,0.615686,1.95108
16,30279,5,2,-0.251505,0.371049,1.93937
16,30279,6,2,-0.384191,0.200916,1.84516
16,30279,7,2,-0.416331,0.169818,1.8203
16,30279,8,2,0.238151,0.610842,1.95024
16,30279,9,2,0.382621,0.351336,1.96332
16,30279,10,2,0.545516,0.201962,1.88782
16,30279,11,2,0.583051,0.17092,1.87719
16,30279,12,2,0.00709978,0.113416,1.92667
16,30279,13,2,-0.0173647,-0.246392,1.93172
16,30279,14,2,0.00304898,-0.614528,1.99663
16,30279,15,2,0.00189197,-0.643049,1.88086
16,30279,16,2,0.162454,0.114133,1.93631
16,30279,17,2,0.194857,-0.248532,1.96783
16,30279,18,2,0.177501,-0.628619,2.01886
16,30279,19,2,0.186499,-0.709745,1.95086
16,30279,20,2,0.0624688,0.669041,1.95371
16,30279,21,2,-0.463995,0.101919,1.77756
16,30279,22,2,-0.439146,0.227242,1.75901
16,30280,23,2,0.630488,0.103788,1.86687
16,30280,24,2,0.601616,0.233324,1.82102
17,31279,0,2,0.0870787,0.113552,1.96546
17,31279,1,2,0.0734678,0.435393,1.95918
17,31279,2,2,0.0599068,0.742384,1.94074
17,31279,3,2,0.0609143,0.889941,1.93138
17,31279,4,2,-0.115629,0.615133,1.94563
17,31279,5,2,-0.239942,0.364747,1.93835
17,31279,6,2,-0.351683,0.176497,1.85186
17,31279,7,2,-0.38052,0.139933,1.82849
17,31279,8,2,0.236327,0.609978,1.9452
17,31279,9,2,0.362768,0.338119,1.96552
17,31279,10,2,0.507067,0.168654,1.89416
17,31279,11,2,0.529532,0.134425,1.88741
17,31279,12,2,0.00764449,0.10952,1.92181
17,31279,13,2,-0.0170697,-0.248491,1.93
17,31279,14,2,0.0036559,-0.616372,1.99606
17,31279,15,2,0.00258854,-0.644931,1.88031
17,31279,16,2,0.163025,0.112683,1.93272
17,31279,17,2,0.194057,-0.24789,1.9658
17,31279,18,2,0.17686,-0.626978,2.0189
17,31280,19,2,0.186432,-0.709052,1.9508
17,31280,20,2,0.06331,0.667649,1.94746
17,31280,21,2,-0.418889,0.0704477,1.78657
17,31280,22,2,-0.405309,0.190203,1.76108
17,31280,23,2,0.568826,0.0677235,1.86729
17,31280,24,2,0.547912,0.186682,1.82746
18,32286,0,2,0.0872455,0.112944,1.96402
18,32286,1,2,0.0739428,0.434824,1.95711
18,32286,2,2,0.0609616,0.741685,1.93765
18,32286,3,2,0.0627184,0.89004,1.92824
18,32286,4,2,-0.111343,0.618226,1.94311
18,32286,5,2,-0.203729,0.355002,1.94455
18,32286,6,2,-0.28783,0.149033,1.86799
18,32286,7,2,-0.309075,0.0983328,1.84794
18,32286,8,2,0.235345,0.607743,1.94369
18,32286,9,2,0.340723,0.325148,1.96916
18,32286,10,2,0.453178,0.12823,1.91345
18,32286,11,2,0.469818,0.0897244,1.90604
18,32286,12,2,0.00811749,0.110716,1.91982
18,32286,13,2,-0.0164343,-0.247536,1.92704
18,32286,14,2,0.0033848,-0.614224,1.99505
18,32286,15,2,0.00265406,-0.642862,1.87929
18,32286,16,2,0.162973,0.110988,1.93171
18,32286,17,2,0.194814,-0.248858,1.96403
18,32286,18,2,0.176622,-0.627997,2.01841
18,32286,19,2,0.186614,-0.708964,1.95191
18,32286,20,2,0.0641875,0.666983,1.94466
18,32286,21,2,-0.33116,0.0242629,1.80669
18,32287,22,2,-0.337035,0.142391,1.77085
18,32287,23,2,0.497147,0.0197647,1.88907
18,32287,24,2,0.485777,0.140825,1.83875
19,33281,0,2,0.086706,0.112563,1.96401
19,33282,1,2,0.0749188,0.434128,1.95398
19,33282,2,2,0.0638146,0.740777,1.93098
19,33282,3,2,0.0679443,0.888135,1.91805
19,33282,4,2,-0.107585,0.617511,1.93808
19,33282,5,2,-0.175534,0.357236,1.9476
19,33282,6,2,-0.24205,0.141594,1.88198
19,33282,7,2,-0.261894,0.0713948,1.85651
19,33282,8,2,0.233706,0.609205,1.93798
19,33282,9,2,0.325322,0.319614,1.96438
19,33282,10,2,0.405571,0.105993,1.91409
19,33282,11,2,0.427395,0.0663186,1.90452
19,33282,12,2,0.00733773,0.110732,1.91943
19,33282,13,2,-0.0156434,-0.245079,1.92476
19,33282,14,2,0.00344592,-0.614101,1.99518
19,33282,15,2,0.00251191,-0.642975,1.87952
19,33282,16,2,0.162555,0.110063,1.93218
19,33282,17,2,0.196061,-0.249135,1.96207
19,33282,18,2,0.17622,-0.627701,2.01774
19,33282,19,2,0.187215,-0.709314,1.95302
19,33282,20,2,0.0665917,0.666126,1.93886
19,33282,21,2,-0.277432,0.000561581,1.81871
19,33282,22,2,-0.25218,0.116408,1.79195
19,33282,23,2,0.451717,-0.000967955,1.88628
19,33282,24,2,0.452357,0.0937698,1.87665
20,34279,0,2,0.0873287,0.112324,1.96268
20,34279,1,2,0.0759377,0.433859,1.95166
20,34279,2,2,0.0647096,0.740572,1.92845
20,34279,3,2,0.0698501,0.887399,1.91412
20,34279,4,2,-0.105545,0.617723,1.93477
20,34280,5,2,-0.177047,0.362181,1.94594
20,34280,6,2,-0.243521,0.147158,1.87782
20,34280,7,2,-0.264993,0.0835549,1.85762
20,34280,8,2,0.235012,0.608906,1.93385
20,34280,9,2,0.325524,0.319768,1.96187
20,34280,10,2,0.410567,0.108321,1.91022
20,34280,11,2,0.43187,0.0688218,1.90597
20,34280,12,2,0.00797632,0.110765,1.91808
20,34280,13,2,-0.0149536,-0.245107,1.92371
20,34280,14,2,0.00350588,-0.613076,1.99434
20,34280,15,2,0.00237717,-0.642004,1.8787
20,34280,16,2,0.163257,0.109516,1.93086
20,34280,17,2,0.197774,-0.248911,1.9615
